약국 이름,주소,경도,위도
천사약국,충청남도 서산시 안견로 216 (동문동),126.4589023,36.7792866
일등약국,충청남도 서산시 안견로 194 (동문동),126.4590821,36.7812113
그린약국,충청남도 서산시 안견로 190 (동문동),126.4590822,36.7812113
터미널약국,충청남도 서산시 안견로 190 서산공용버스터미널 (동문동),126.4590822,36.7812113
세계로약국,충청남도 서산시 안견로 178 1층 (동문동),126.459131,36.7825007
미소약국,충청남도 서산시 안견로 180 (동문동),126.4591331,36.7823107
세련약국,충청남도 서산시 안견로 170 1층 (동문동),126.4591569,36.7833275
더블유스토어대흥약국,충청남도 서산시 안견로 184-2 (동문동),126.4591667,36.7821411
조은약국,충청남도 서산시 안견로 196 (동문동),126.4591671,36.780819
솔약국,전라남도 무안군 삼향읍 남악2로74번길 39 (광일프라자),126.4592078,34.8130693
서산종로약국,충청남도 서산시 안견로 197 1층 (동문동),126.4595442,36.7807282
성모약국,충청남도 서산시 고운로 219 (동문동),126.4595494,36.7837932
도미당약국,충청남도 서산시 안견로 185 (동문동),126.4595791,36.781828
다나약국,충청남도 서산시 안견로 179 삼성생명빌딩 1층 110호 (동문동),126.459604,36.7824183
서문약국,충청남도 서산시 안견로 191 (동문동),126.4596283,36.7813668
대영약국,충청남도 서산시 안견로 189 1층 (동문동),126.4596296,36.7816228
루비약국,충청남도 서산시 안견로 175 1층 (동문동),126.4596833,36.7826577
우리팜약국,전라남도 무안군 삼향읍 남악3로 71 (더 트리폴리앙 상가107호),126.4597911,34.8118144
흰돌온누리약국,충청남도 서산시 율지6로 5 (동문동),126.4598805,36.7810521
새봄약국,"충청남도 서산시 율지8로 7-6 1층 102,103호 (동문동)",126.4601787,36.7824455
신우그린약국,전라남도 무안군 삼향읍 남악3로 50 신우메디칼센터,126.4606714,34.8099707
제일온누리약국,전라남도 무안군 삼향읍 대죽서로15번길 36 1층 (청우프라자),126.4612984,34.8124765
동문약국,충청남도 서산시 중앙로 109 우정빌딩 1층 (동문동),126.4617099,36.7773133
연세약국,"인천광역시 중구 공항로424번길 66 지하1층 117호 (운서동, 에클라트)",126.4621118,37.4387932
